香港频道,#genre#
翡翠台,http://cdn6.163189.xyz/163189/fct
明珠台,http://cdn6.163189.xyz/163189/mzt
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
翡翠剧集台,https://6.cdn.loc.cc/163189.php?id=tvbd
无线新闻台,https://cdn6.163189.xyz/163189/wxxw
NOW新闻,https://cdn.163189.xyz/163189/now
NOW英超1,http://amazing-prada.xyz:8080//7XnMWsx0CQOnRaOB/vjmLj63HPEEwoj4s/236727
凤凰中文台,https://cdn6.163189.xyz/163189/fhzw
凤凰资讯台,https://cdn6.163189.xyz/163189/fhzx
凤凰香港台,https://cdn6.163189.xyz/163189/fhhk
凤凰电影台,http://www.liyajun.top:7088/udp/239.253.93.81:6247
HOY77,https://cdn6.163189.xyz/163189/hoy
HOY78,https://cdn.163189.xyz/163189/hoy78
RTHK31,https://cdn.163189.xyz/163189/rthk31
RTHK32,https://cdn.163189.xyz/163189/rthk32
ViuTV,https://cdn.163189.xyz/163189/viu
华丽翡翠台,https://o11.163189.xyz/stream/live/hlt/
Astro 酷哒哒,https://o11.163189.xyz/stream/live/test/
Astro AOD,https://o11.163189.xyz/stream/live/aod/
Astro AEC,https://o11.163189.xyz/stream/live/aec/
爱奇艺,https://o11.163189.xyz/stream/live/iqiyi/
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/

超清央视,#genre# 
CCTV-1高清,http://guany.myds.me:25852/udp/233.50.200.99:5140
CCTV-1高清,http://guany.myds.me:25852/udp/233.50.200.130:5140
CCTV-1高清,http://guany.myds.me:25852/udp/233.50.200.143:5140
CCTV-1高清,http://guany.myds.me:25852/udp/233.50.201.118:5140
CCTV-1高清,http://guany.myds.me:25852/udp/233.50.201.222:5140
CCTV-2高清,http://guany.myds.me:25852/udp/233.50.200.25:5140
CCTV-2高清,http://guany.myds.me:25852/udp/233.50.200.100:5140
CCTV-2高清,http://guany.myds.me:25852/udp/233.50.201.119:5140
CCTV-3高清,http://guany.myds.me:25852/udp/233.50.200.107:5140
CCTV-3高清,http://guany.myds.me:25852/udp/233.50.201.196:5140
CCTV-4高清,http://guany.myds.me:25852/udp/233.50.200.101:5140
CCTV-5高清,http://guany.myds.me:25852/udp/233.50.200.108:5140
CCTV-5高清,http://guany.myds.me:25852/udp/233.50.201.197:5140
CCTV-5+高清,http://guany.myds.me:25852/udp/233.50.201.220:5140
CCTV-6高清,http://guany.myds.me:25852/udp/233.50.200.109:5140
CCTV-6高清,http://guany.myds.me:25852/udp/233.50.201.198:5140
CCTV-7高清,http://guany.myds.me:25852/udp/233.50.200.24:5140
CCTV-7高清,http://guany.myds.me:25852/udp/233.50.200.102:5140
CCTV-7高清,http://guany.myds.me:25852/udp/233.50.201.120:5140
CCTV-8高清,http://guany.myds.me:25852/udp/233.50.200.110:5140
CCTV-8高清,http://guany.myds.me:25852/udp/233.50.201.199:5140
CCTV-9高清,http://guany.myds.me:25852/udp/233.50.200.23:5140
CCTV-9高清,http://guany.myds.me:25852/udp/233.50.201.121:5140
CCTV-10高清,http://guany.myds.me:25852/udp/233.50.200.22:5140
CCTV-10高清,http://guany.myds.me:25852/udp/233.50.201.122:5140
CCTV-11高清,http://guany.myds.me:25852/udp/233.50.201.11:5140
